species,age,band_number,mass,wing,tarsus,fat,location,taxon,foraging,temp,season,year,time
AMGO,HY,2750-20797,11.4,53,16.3,0.5,Forb,finch,foliage glean,70,Fall,2019,800
AMGO,,2750-20730,12.8,70,12.8,0,Forb,finch,foliage glean,58,Spring,2019,0850
AMGO,HY,2750-20807,11.1,67,14.8,0.5,Forb,finch,foliage glean,40,Fall,2019,850
AMGO,HY,2750-20429,12.9,68,14.9,1,Forb,finch,foliage glean,39,Fall,2017,
AMGO,,2750-20720,11.7,68,14.9,1.5,Forb,finch,foliage glean,38,Spring,2019,0900
AMGO,AHY,2750-20834,12.5,70,14.7,1,Forb,finch,foliage glean,35,Fall,2019,915
AMGO,,2750-20458,13.7,68,15.3,2,Forb,finch,foliage glean,48,Spring,2018,0815
AMGO,HY,2750-20541,12.5,67,15.8,0.5,Forb,finch,foliage glean,34,Fall,2018,0940
AMGO,AHY,2750-20565,13.7,71,14.7,1.5,Forb,finch,foliage glean,33,Fall,2018,0900
AMGO,HY,2750-20561,12.1,70,15,1,Forb,finch,foliage glean,33,Fall,2018,0815
AMGO,HY,2750-20803,13,67,15.9,1,Forb,finch,foliage glean,40,Fall,2019,835
AMGO,HY,2750-20822,12.6,70,15.1,0.5,Forb,finch,foliage glean,41,Fall,2019,850
AMGO,HY,2750-20833,13.2,69,15.4,0.5,Forb,finch,foliage glean,35,Fall,2019,915
AMGO,HY,2750-20793,11.9,70,15.2,0.5,Forb,finch,foliage glean,56,Fall,2019,1120
AMGO,HY,2750-20537,12.1,69,15.5,1,Forb,finch,foliage glean,52,Fall,2018,1020
AMGO,HY,2750-20534,,68,15.8,1,Forb,finch,foliage glean,52,Fall,2018,1020
AMGO,,2750-20473,13.9,70,15.3,0.5,Forb,finch,foliage glean,58,Spring,2018,0650
AMGO,HY,2750-20827,11.7,70,15.3,0,Forb,finch,foliage glean,41,Fall,2019,930
AMGO,AHY,2750-20532,13.4,65,16.8,1,Forb,finch,foliage glean,52,Fall,2018,0805
AMGO,,2750-20715,13.7,71,15.1,1,Forb,finch,foliage glean,38,Spring,2019,0835
AMGO,AHY,2750-20828,12,70,15.4,1,Forb,finch,foliage glean,41,Fall,2019,950
AMGO,HY,2750-20812,12.9,69,15.7,1,Forb,finch,foliage glean,40,Fall,2019,1000
AMGO,HY,2750-20825,12.5,71,15.2,0.5,Forb,finch,foliage glean,41,Fall,2019,900
AMGO,HY,2750-20574,11.3,69,15.8,1,Forb,finch,foliage glean,33,Fall,2018,0934
AMGO,HY,2750-20512,12.3,68,16.1,1.5,Forb,finch,foliage glean,70,Fall,2018,0845
AMGO,,2750-20487,12.6,71,15.3,0.5,Forb,finch,foliage glean,59,Spring,2018,0956
AMGO,AHY,2750-20567,13.1,70,15.6,1.5,Forb,finch,foliage glean,33,Fall,2018,0907
AMGO,,2750-20711,13.2,70,15.6,1,Forb,finch,foliage glean,38,Spring,2019,0700
