"","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1","S40748758","Snow Goose","Anser caerulescens","2017-11-26","10:28 AM",16,20,"US-MO",38.8719313,-90.1843917,369,11,2017
"2","S33616660","Snow Goose","Anser caerulescens","2017-01-12","07:00 AM",1,90,"US-MO",38.6389068,-90.2853806,272,1,2017
"3","S33809874","Snow Goose","Anser caerulescens","2017-01-20","04:26 PM",1,59,"US-MO",38.6389068,-90.2853806,188,1,2017
"4","S35533959","Snow Goose","Anser caerulescens","2017-03-30","07:05 AM",1,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"5","S35698031","Snow Goose","Anser caerulescens","2017-04-04","07:00 AM",1,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"6","S35861224","Snow Goose","Anser caerulescens","2017-04-10","06:06 PM",1,68,"US-MO",38.6389068,-90.2853806,28,4,2017
"7","S35918417","Snow Goose","Anser caerulescens","2017-04-13","06:59 AM",1,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"8","S36118134","Snow Goose","Anser caerulescens","2017-04-20","07:00 AM",1,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"9","S36198905","Snow Goose","Anser caerulescens","2017-04-23","08:13 AM",1,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"10","S36840525","Snow Goose","Anser caerulescens","2017-05-13","06:00 PM",1,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"11","S37374545","Snow Goose","Anser caerulescens","2017-06-04","07:53 AM",1,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"12","S38541052","Snow Goose","Anser caerulescens","2017-08-08","07:05 AM",1,85,"US-MO",38.6389068,-90.2853806,281,8,2017
"13","S42135357","Snow Goose","Anser caerulescens","2018-01-21","01:37 PM",1,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"14","S82037948","Snow Goose","Anser caerulescens","2021-02-20","05:15 PM",26,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"15","S20964481","Greater White-fronted Goose","Anser albifrons","2014-12-20","09:30 AM",30,150,"US-MO",38.8719313,-90.1843917,469,12,2014
"16","S40744474","Greater White-fronted Goose","Anser albifrons","2017-11-26","08:49 AM",6,24,"US-MO",38.8719313,-90.1843917,223,11,2017
"17","S40748758","Greater White-fronted Goose","Anser albifrons","2017-11-26","10:28 AM",31,20,"US-MO",38.8719313,-90.1843917,369,11,2017
"18","S22219420","Greater White-fronted Goose","Anser albifrons","2015-03-07","11:40 AM",6,30,"US-MO",38.762,-90.179,17,3,2015
"19","S82037948","Greater White-fronted Goose","Anser albifrons","2021-02-20","05:15 PM",150,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"20","S21322331","Cackling Goose","Branta hutchinsii","2015-01-12","09:20 AM",2,30,"US-MO",38.6389068,-90.2853806,195,1,2015
"21","S42135357","Cackling Goose","Branta hutchinsii","2018-01-21","01:37 PM",2,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"22","S82037948","Cackling Goose","Branta hutchinsii","2021-02-20","05:15 PM",40,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"23","S21177034","Canada Goose","Branta canadensis","2015-01-03","02:00 PM",4,90,"US-IL",39.924334,-91.4148653,11,1,2015
"24","S37097000","Canada Goose","Branta canadensis","2017-05-23","02:06 PM",1,50,"US-VT",44.097019,-73.3420451,44,5,2017
"25","S1740462","Canada Goose","Branta canadensis","2004-10-05","05:00 PM",2,0,"US-VT",43.7829965,-73.3154315,12,10,2004
"26","S22598375","Canada Goose","Branta canadensis","2015-03-30","04:30 PM",65,30,"US-VT",43.7829965,-73.3154315,81,3,2015
"27","S22635608","Canada Goose","Branta canadensis","2015-04-01","04:30 PM",2,20,"US-VT",43.7829965,-73.3154315,16,4,2015
"28","S37075088","Canada Goose","Branta canadensis","2017-05-22","06:17 PM",1,9,"US-VT",43.7829965,-73.3154315,61,5,2017
"29","S37111692","Canada Goose","Branta canadensis","2017-05-24","09:29 AM",2,42,"US-VT",43.7829965,-73.3154315,62,5,2017
